district_key,district_name,state,season,sprayable_acres,pp_spray_acres_low,pp_spray_acres_base,pp_spray_acres_high,rank_national,rank_national_low,rank_national_high,rank_in_state,decile,top_crop_1,top_crop_1_share_pct,top_crop_2,top_crop_2_share_pct,top_crop_3,top_crop_3_share_pct,open_crop_share_pct,unit_key,unit_district_count,unit_yoy_area_change_pct,unit_area_ma3_acres
Assam:Dhubri,Dhubri,Assam,Rabi,72452.191,25546.06285,43450.92885,163748.228,1227,1245,1058,50,7,Maize,75.57856844296207,Rapeseed & Mustard,16.123996621996262,Moong,4.322024982441773,82.41419216519235,Assam:Dhubri,2,9.769464785287328,324387.938
Assam:Dhubri,Dhubri,Assam,Summer,120688.582,200315.3215,261887.08175,482754.328,698,693,712,24,4,Rice,99.9679197616627,Moong,0.032080238337300115,,,0.032080238337300115,Assam:Dhubri,2,9.769464785287328,324387.938
Assam:Dibrugarh,Dibrugarh,Assam,Kharif,194902.596,323159.94984,422611.37408,779037.112,495,490,491,7,3,Rice,99.78307706412406,Maize,0.16254602742186564,Sugarcane,0.054376908454077354,0.16254602742186564,Assam:Dibrugarh,1,1.6401315060396735,202289.23866666667
Assam:Dibrugarh,Dibrugarh,Assam,Rabi,7558.789,1298.5105,1518.4295,15527.764,1736,1703,1582,93,10,Rapeseed & Mustard,61.56224572823434,Moong,25.061025223759152,Wheat,9.471114727420668,28.966639544344996,Assam:Dibrugarh,1,1.6401315060396735,202289.23866666667
Assam:Dibrugarh,Dibrugarh,Assam,Summer,1507.31,2469.5174,3262.4613,6029.24,1670,1645,1684,86,9,Rice,96.97038551844278,Moong,3.0296144815572217,,,3.0296144815572217,Assam:Dibrugarh,1,1.6401315060396735,202289.23866666667
Assam:Dima Hasao,Dima Hasao,Assam,Kharif,48016.84265,67234.72392,90430.07505,173260.96025,1053,1024,1041,38,6,Rice,69.17971776028068,Maize,18.613776435210422,Sugarcane,11.70055647321947,18.613776435210422,Assam:Dima Hasao,1,-10.222893188199546,60427.60488333333
Assam:Dima Hasao,Dima Hasao,Assam,Rabi,9226.714,4719.23935,8645.65835,22599.766,1546,1551,1514,77,9,Maize,85.74245823627763,Rapeseed & Mustard,7.7839861668834045,Moong,5.087385855352473,90.82984409163011,Assam:Dima Hasao,1,-10.222893188199546,60427.60488333333
Assam:Dima Hasao,Dima Hasao,Assam,Summer,432.425,432.425,864.85,1729.7,1766,1778,1779,96,10,Moong,100.0,,,,,100.0,Assam:Dima Hasao,1,-10.222893188199546,60427.60488333333
Assam:Goalpara,Goalpara,Assam,Kharif,122020.451,200119.07468,263571.58716,484392.601,697,695,711,23,4,Rice,97.4227954260197,Maize,2.355015601978363,Sugarcane,0.22218897200193952,2.355015601978363,Assam:Goalpara,1,-0.8812402474208287,217942.2
Assam:Goalpara,Goalpara,Assam,Rabi,27615.896,7958.91803,11405.96303,59632.643,1498,1471,1322,72,8,Maize,37.3489199359609,Rapeseed & Mustard,25.68778122718499,Moong,16.724690365755112,60.44285766898545,Assam:Goalpara,1,-0.8812402474208287,217942.2
Assam:Goalpara,Goalpara,Assam,Summer,68538.127,113523.76924,148663.46488,274152.508,909,888,906,35,5,Rice,99.49138411336617,Moong,0.5086158866338405,,,0.5086158866338405,Assam:Goalpara,1,-0.8812402474208287,217942.2
Assam:Golaghat,Golaghat,Assam,Kharif,300808.76644,495999.28336,647514.420616,1198183.4522,330,306,317,1,2,Rice,99.09712777509445,Sugarcane,0.6769816795477378,Maize,0.2152298011639933,0.2152298011639933,Assam:Golaghat,1,0.8601852131157431,329099.01481333334
Assam:Golaghat,Golaghat,Assam,Rabi,18898.208,4105.26998,5157.91598,39439.631,1612,1580,1419,82,9,Rapeseed & Mustard,42.77946516685989,Moong,22.8995199724056,Wheat,16.403817225421342,40.816717607718765,Assam:Golaghat,1,0.8601852131157431,329099.01481333334
Assam:Golaghat,Golaghat,Assam,Summer,10776.031,17809.93018,23363.82391,43104.124,1374,1335,1398,62,8,Rice,98.98468674942174,Moong,1.0153132505782527,,,1.0153132505782527,Assam:Golaghat,1,0.8601852131157431,329099.01481333334
Assam:Hailakandi,Hailakandi,Assam,Kharif,104968.99427,174193.49094,227718.187648,419797.81935,762,745,762,27,5,Rice,99.93327856260878,Maize,0.03255339451172339,Sugarcane,0.022787376158206373,0.03255339451172339,Assam:Hailakandi,1,1.460174084414518,106641.25175666666
Assam:Hailakandi,Hailakandi,Assam,Rabi,316.288,112.05985,193.60285,726.474,1833,1832,1820,99,10,Maize,66.36885768985323,Rapeseed & Mustard,15.76260370134014,Moong,12.763241863433311,84.23739629865986,Assam:Hailakandi,1,1.460174084414518,106641.25175666666
Assam:Hailakandi,Hailakandi,Assam,Summer,1574.027,2572.11332,3405.13684,6296.108,1662,1638,1680,84,9,Rice,96.3716582972918,Moong,3.628341702708194,,,3.628341702708194,Assam:Hailakandi,1,1.460174084414518,106641.25175666666
Assam:Hojai,Hojai,Assam,Kharif,154679.658,248617.194,321743.968,606368.574,619,613,606,18,4,Rice,95.99410174490046,Sugarcane,3.6710493978864585,Maize,0.33484885721307445,0.33484885721307445,Assam:Hojai,2,-1.6043689728167736,566032.9501633333
Assam:Hojai,Hojai,Assam,Rabi,9021.621,2545.84659,3133.94459,18972.338,1675,1639,1547,87,9,Wheat,31.73958637220194,Rapeseed & Mustard,30.72956500484905,Moong,21.76158449565951,37.53084862294901,Assam:Hojai,2,-1.6043689728167736,566032.9501633333
Assam:Hojai,Hojai,Assam,Summer,17069.668,28322.602,37037.819,68278.672,1270,1217,1278,52,7,Rice,99.89325505370606,Moong,0.1067449462939489,,,0.1067449462939489,Assam:Hojai,2,-1.6043689728167736,566032.9501633333
Assam:Jorhat,Jorhat,Assam,Kharif,171353.07644,284336.83334,371737.996126,685260.6852,562,548,548,13,3,Rice,99.90432351287559,Maize,0.05716553115758752,Sugarcane,0.01994146435729797,0.05716553115758752,Assam:Jorhat,2,0.37885902512527597,279807.3585533333
Assam:Jorhat,Jorhat,Assam,Rabi,8507.653,1703.85334,2329.01634,17983.938,1700,1681,1560,89,10,Rapeseed & Mustard,43.63952723491841,Moong,29.49476945275532,Maize,23.341184459015,53.6847242557345,Assam:Jorhat,2,0.37885902512527597,279807.3585533333
Assam:Jorhat,Jorhat,Assam,Summer,1524.607,2354.71474,3263.02963,6098.428,1668,1652,1683,85,9,Rice,83.64293124730222,Moong,16.35706875269778,,,16.35706875269778,Assam:Jorhat,2,0.37885902512527597,279807.3585533333
Assam:Kamrup,Kamrup,Assam,Kharif,201595.20066,332767.24726,435566.713414,803532.8763,483,480,481,5,3,Rice,99.01260007903493,Maize,0.6614798402332167,Sugarcane,0.32393223736978277,0.6614798402332167,Assam:Kamrup,1,-6.850410652500612,342992.4758866667
Assam:Kamrup,Kamrup,Assam,Rabi,57791.748,20712.58917,34779.99217,132168.848,1288,1299,1112,53,7,Maize,65.59021603137985,Rapeseed & Mustard,15.915573910837944,Moong,14.479295956667261,80.89365248410866,Assam:Kamrup,1,-6.850410652500612,342992.4758866667
Assam:Kamrup,Kamrup,Assam,Summer,69909.532,115637.21554,151597.40673,279638.128,902,878,901,34,5,Rice,99.17523259337354,Moong,0.8247674066264682,,,0.8247674066264682,Assam:Kamrup,1,-6.850410652500612,342992.4758866667
Assam:Kamrup Metro,Kamrup Metro,Assam,Kharif,22846.866,37694.21544,49330.25328,91036.582,1201,1162,1207,47,7,Rice,98.95810792398997,Maize,0.6612007405448294,Sugarcane,0.38069133546520484,0.6612007405448294,Assam:Kamrup Metro,1,-2.1144645915775797,43678.219666666664
Assam:Kamrup Metro,Kamrup Metro,Assam,Rabi,2498.181,998.30871,1724.78271,6004.53,1722,1725,1685,92,10,Maize,44.125442328906466,Moong,32.664288477242444,Rapeseed & Mustard,12.981189381240956,84.23948080973052,Assam:Kamrup Metro,1,-2.1144645915775797,43678.219666666664
